Date,Open,High,Low,Close,Adj Close,Volume
04-08-2021,3379.350098,3388.879883,3345.560059,3354.719971,3354.719971,2183900
05-08-2021,3356.219971,3389,3340.919922,3375.98999,3375.98999,2433500
06-08-2021,3375,3375,3329.040039,3344.939941,3344.939941,2635300
09-08-2021,3343.610107,3354.879883,3328.52002,3341.870117,3341.870117,2148200
10-08-2021,3345.01001,3358,3315,3320.679932,3320.679932,2412600
11-08-2021,3331.449951,3337.699951,3277.790039,3292.110107,3292.110107,2947200
12-08-2021,3290,3314.51001,3269.669922,3303.5,3303.5,2314100
13-08-2021,3305.669922,3306.070068,3283,3293.969971,3293.969971,2052800
16-08-2021,3283,3300,3211.129883,3298.98999,3298.98999,3319700
17-08-2021,3277.5,3280.48999,3225.679932,3241.959961,3241.959961,3387900
18-08-2021,3241.98999,3254.100098,3200,3201.219971,3201.219971,2804300
19-08-2021,3194.02002,3233,3182.459961,3187.75,3187.75,3782900
20-08-2021,3203.870117,3207.810059,3175.76001,3199.949951,3199.949951,3341200
23-08-2021,3211.899902,3280.899902,3210.01001,3265.870117,3265.870117,3268100
24-08-2021,3280,3315.48999,3274.580078,3305.780029,3305.780029,2551800
25-08-2021,3309.870117,3321,3286.149902,3299.179932,3299.179932,1680300
26-08-2021,3299,3332,3296,3316,3316,2098800
27-08-2021,3333.22998,3352.320068,3313.75,3349.629883,3349.629883,2391300
30-08-2021,3357.429932,3445,3355.219971,3421.570068,3421.570068,3192200
31-08-2021,3424.800049,3472.580078,3395.590088,3470.790039,3470.790039,4356400
01-09-2021,3496.399902,3527,3475.23999,3479,3479,3629900
02-09-2021,3494.76001,3511.959961,3455,3463.120117,3463.120117,2923700
03-09-2021,3452,3482.669922,3436.439941,3478.050049,3478.050049,2575700
07-09-2021,3478,3528.090088,3476.939941,3509.290039,3509.290039,2737900
08-09-2021,3511.649902,3545.629883,3495.669922,3525.5,3525.5,3053400
09-09-2021,3526.02002,3549.98999,3480.370117,3484.159912,3484.159912,2719200
10-09-2021,3501.830078,3508.449951,3462.909912,3469.149902,3469.149902,2393300
13-09-2021,3482.800049,3497.959961,3438,3457.169922,3457.169922,2569000
14-09-2021,3475.550049,3486.810059,3437.709961,3450,3450,1936900
15-09-2021,3442.52002,3485.419922,3402.01001,3475.790039,3475.790039,2957500
16-09-2021,3459.959961,3492.550049,3446.139893,3488.23999,3488.23999,2583600
17-09-2021,3488.409912,3497.409912,3452.129883,3462.52002,3462.52002,4616600
20-09-2021,3396,3419,3305.01001,3355.72998,3355.72998,4669100
21-09-2021,3375,3379.699951,3332.389893,3343.629883,3343.629883,2780900
22-09-2021,3351,3389,3341.050049,3380.050049,3380.050049,2411400
23-09-2021,3380.050049,3428.959961,3380.050049,3416,3416,2379400
24-09-2021,3402.01001,3429.26001,3393.399902,3425.52002,3425.52002,2116200
27-09-2021,3371.5,3415.570068,3339.610107,3405.800049,3405.800049,3634500
28-09-2021,3357.709961,3369.189941,3290.100098,3315.959961,3315.959961,4430800
29-09-2021,3322.110107,3351.300049,3297.870117,3301.120117,3301.120117,2562300
30-09-2021,3316,3327.850098,3273.98999,3285.040039,3285.040039,2842400
01-10-2021,3289.01001,3309.169922,3255.939941,3283.26001,3283.26001,2835600
04-10-2021,3279.389893,3279.98999,3176.25,3189.780029,3189.780029,4523100
05-10-2021,3204.5,3260.72998,3202.459961,3221,3221,3269200
